a52dec 0.7.4-10
kaccounts-providers 20.04.0-1
kactivities 5.69.0-1
kactivities-stats 5.69.0-1
kactivitymanagerd 5.18.5-1
karchive 5.69.0-1
kauth 5.69.0-1
kbd 2.2.0-5
kbookmarks 5.69.0-2
kcalendarcore 5.69.0-1
kcmutils 5.69.0-1
kcodecs 5.69.0-1
kcompletion 5.69.0-1
kconfig 5.69.0-1
kconfigwidgets 5.69.0-1
kcontacts 1:5.69.0-1
kcoreaddons 5.69.0-1
kcrash 5.69.0-1
kdbusaddons 5.69.0-1
kde-cli-tools 5.18.5-1
kde-gtk-config 5.18.5-1
kdeclarative 5.69.0-1
kdeconnect 20.04.0-1
kdecoration 5.18.5-1
kded 5.69.0-1
kdelibs4support 5.69.0-1
kdeplasma-addons 5.18.5-1
kdesu 5.69.0-1
kdialog 20.04.0-1
kdnssd 5.69.0-1
kdsoap 1.9.0-1
kdsoap-ws-discovery-client git20200316-2
kemoticons 5.69.0-1
keyutils 1.6.1-4
kfilemetadata 5.69.0-1
kgamma5 5.18.5-1
kglobalaccel 5.69.0-1
kguiaddons 5.69.0-1
kholidays 1:5.69.0-1
khotkeys 5.18.5-1
ki18n 5.69.0-1
kiconthemes 5.69.0-1
kidletime 5.69.0-1
kinfocenter 5.18.5-1
kinit 5.69.0-1
kio 5.69.0-1
kio-extras 20.04.0-1
kio-gdrive 1.3.0-1
kirigami2 5.69.0-1
kitemmodels 5.69.0-1
kitemviews 5.69.0-1
kjobwidgets 5.69.0-1
kjs 5.69.0-1
kmenuedit 5.18.5-1
kmod 27-1
knetattach 5.18.5-1
knewstuff 5.69.0-1
knotifications 5.69.0-1
knotifyconfig 5.69.0-1
konsole 20.04.0-1
kpackage 5.69.0-1
kparts 5.69.0-1
kpeople 5.69.0-1
kpeoplevcard 0.1-1
kpty 5.69.0-1
kquickcharts 5.69.0-1
krb5 1.18-1
krunner 5.69.0-1
kscreen 5.18.5-1
kscreenlocker 5.18.5-1
kservice 5.69.0-1
ksshaskpass 5.18.5-1
ksysguard 5.18.5-1
ktexteditor 5.69.0-1
ktextwidgets 5.69.0-1
kunitconversion 5.69.0-1
kuserfeedback 1.0.0-1
kwallet 5.69.0-1
kwallet-pam 5.18.5-1
kwalletmanager 20.04.0-1
kwayland 5.69.0-1
kwayland-integration 5.18.5-1
kwidgetsaddons 5.69.0-1
kwin 5.18.5-1
kwindowsystem 5.69.0-1
kwrited 5.18.5-1
kxmlgui 5.69.0-1
l-smash 2.14.5-1
lame 3.100-2
lapack 3.9.0-2
latte-dock 0.9.11-1
lcms2 2.9-2
ldb 1:2.1.2-1
ldns 1.7.1-2
lensfun 0.3.95-1
less 551-3
libabw 0.1.3-1
libaccounts-glib 1.25-1
libaccounts-qt 1.16-2
libaio 0.3.112-2
libappindicator-gtk3 12.10.0-14
libarchive 3.4.2-1
libass 0.14.0-1
libassuan 2.5.3-2
libasyncns 0.8+3+g68cd5af-2
libatasmart 0.19-4
libatomic_ops 7.6.10-1
libavc1394 0.5.4-3
libblockdev 2.23-3
libbluray 1.2.0-3
libbsd 0.10.0-1
libbytesize 2.2-1
libcanberra 0.30+2+gc0620e4-3
libcanberra-pulse 0.30+2+gc0620e4-3
libcap 2.33-1
libcap-ng 0.7.10-1
libcdr 0.1.6-2
libcmis 0.5.2-4
libcroco 0.6.13-1
libcups 2.3.3-1
libcurl-gnutls 7.70.0-2
libdaemon 0.14-4
libdatrie 0.2.12-1
libdbusmenu-glib 16.04.0-4
libdbusmenu-gtk2 16.04.0-4
libdbusmenu-gtk3 16.04.0-4
libdbusmenu-qt5 0.9.3+16.04.20160218-4
libdca 0.0.7-1
libde265 1.0.5-1
libdmtx 0.7.5-1
libdrm 2.4.101-1
libdvbpsi 1:1.3.3-1
libe-book 0.1.3-7
libebml 1.3.10-1
libedit 20191231_3.1-1
libelf 0.178-2
libepoxy 1.5.4-1
libepubgen 0.1.1-1
libetonyek 0.1.9-2
libevdev 1.9.0-1
libevent 2.1.11-5
libexif 0.6.21-3
libexttextcat 3.4.5-2
libfakekey 0.3-1
libffi 3.3-3
libfontenc 1.1.4-1
libfreehand 0.1.2-2
libftdi 1.4-4
libgcrypt 1.8.5-2
libgexiv2 0.12.0-4
libgit2 1:1.0.0-1
libglvnd 1.3.1-1
libgpg-error 1.37-1
libgssglue 0.4-4
libgudev 233-1
libgusb 0.3.4-1
libheif 1.6.2-2
libibus 1.5.22-1
libical 3.0.8-2
libice 1.0.10-2
libid3tag 0.15.1b-9
libidn 1.35-2
libidn2 2.3.0-1
libiec61883 1.2.0-5
libimagequant 2.12.6-1
libimobiledevice 1.2.0+87+g92c5462-6
libindicator-gtk3 12.10.1-9
libinput 1.15.5-1
libinput-gestures 2.50-1
libixion 0.15.0-1
libjcat 0.1.1-1
libjpeg-turbo 2.0.4-1
libkdcraw 20.04.0-1
libkexiv2 20.04.0-1
libkgapi 20.04.0-1
libkipi 20.04.0-1
libksba 1.3.5-2
libkscreen 5.18.5-1
libksysguard 5.18.5-1
liblangtag 0.6.3-1
libldap 2.4.49-1
liblouis 3.13.0-1
liblqr 0.4.2-2
libmad 0.15.1b-8
libmatroska 1.5.2-1
libmbim 1.22.0-1
libmfx 20.1.1-1
libmicrohttpd 0.9.70-3
libmm-glib 1.12.8-1
libmng 2.0.3-2
libmnl 1.0.4-3
libmodplug 0.8.9.0-2
libmpc 1.1.0-2
libmpcdec 1:0.1+r475-2
libmpeg2 0.5.1-6
libmspub 0.1.4-7
libmtp 1.1.17-1
libmwaw 0.3.16-1
libmypaint 1.5.1-2
libndp 1.7-1
libnet 1.1.6-3
libnetfilter_conntrack 1.0.8-1
libnewt 0.52.21-3
libnfnetlink 1.0.1-3
libnftnl 1.1.6-1
libnghttp2 1.40.0-1
libnl 3.5.0-2
libnm 1.22.11dev+36+g6abf71f05-1
libnotify 0.7.9-1
libnsl 1.2.0-2
libnumbertext 1.0.5-1
libodfgen 0.1.7-1
libogg 1.3.4-2
libomxil-bellagio 0.9.3-2
liborcus 0.15.4-1
libp11-kit 0.23.20-4
libpagemaker 0.0.4-2
libpaper 1.1.28-1
libpcap 1.9.1-2
libpciaccess 0.16-1
libpgm 5.2.122-5
libpipeline 1.5.2-1
libplacebo 1.29.1-3
libplist 2.1.0-2
libpng 1.6.37-1
libproxy 0.4.15+33+g454a499-1
libpsl 0.21.0-2
libpulse 13.0-3
libpwquality 1.4.2-2
libqalculate 3.9.0.a-2
libqmi 1.24.10-1
libqxp 0.0.2-4
libraqm 0.7.0-1
libraw 0.19.5-2
libraw1394 2.1.2-2
libreoffice-fresh 6.4.3-3
librevenge 0.0.4-2
librsvg 2:2.48.4-1
libsamplerate 0.1.9-3
libsasl 2.1.27-2
libseccomp 2.4.2-1
libsecret 0.20.3-1
libsigsegv 2.12-2
libsm 1.2.3-2
libsmbios 2.4.3-1
libsndfile 1.0.28-3
libsodium 1.0.18-1
libsoup 2.70.0-1
libsoxr 0.1.3-2
libspectre 0.2.9-1
libspiro 1:20190731-1
libssh 0.9.4-1
libssh2 1.9.0-2
libstaroffice 0.0.7-1
libstemmer 0+713-1
libsynctex 2019.51075-10
libtar 1.2.20-5
libtasn1 4.16.0-1
libteam 1.30-1
libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.1.0-1
libtirpc 1.2.6-1
libtommath 1.2.0-1
libtool 2.4.6+42+gb88cebd5-12
libunistring 0.9.10-2
libunwind 1.3.1-1
libupnp 1.6.25-1
libusb 1.0.23-2
libusb-compat 0.1.7-1
libusbmuxd 2.0.1-1
libutempter 1.1.6-3
libutf8proc 2.4.0-1
libutil-linux 2.35.1-2
libuv 1.37.0-1
libva 2.7.1-1
libva-mesa-driver 20.0.6-2
libva-utils 2.7.1-1
libvdpau 1.3-1
libvisio 0.1.7-3
libvisual 0.4.0-8
libvorbis 1.3.6-1
libvpx 1.8.2-1
libwacom 1.3-1
libwebp 1.1.0-1
libwmf 0.2.12-1
libwpd 0.10.3-1
libwpg 0.3.3-1
libwps 0.4.11-1
libx11 1.6.9-6
libxau 1.0.9-2
libxaw 1.0.13-2
libxcb 1.14-1
libxcomposite 0.4.5-2
libxcursor 1.2.0-1
libxdamage 1.1.5-2
libxdg-basedir 1.2.0-5
libxdmcp 1.1.3-2
libxext 1.3.4-2
libxfixes 5.0.3-3
libxfont2 2.0.4-2
libxft 2.3.3-1
libxi 1.7.10-2
libxinerama 1.1.4-2
libxkbcommon 0.10.0-1
libxkbcommon-x11 0.10.0-1
libxkbfile 1.1.0-1
libxml2 2.9.10-2
libxmlb 0.1.15-2
libxmu 1.1.3-1
libxpm 3.5.13-1
libxrandr 1.5.2-2
libxrender 0.9.10-3
libxres 1.2.0-2
libxshmfence 1.3-2
libxslt 1.1.34-2
libxss 1.2.3-2
libxt 1.2.0-1
libxtst 1.2.3-3
libxv 1.0.11-3
libxxf86vm 1.1.4-3
libyaml 0.2.4-1
libzip 1.6.1-2
libzmf 0.0.2-8
licenses 20200427-1
linux 5.6.11.arch1-1
linux-api-headers 5.4.17-1
linux-firmware 20200421.78c0348-1
llvm-libs 10.0.0-1
lm_sensors 3.6.0-1
lmdb 0.9.25-1
logrotate 3.16.0-1
lolcat 100.0.0-2
lpsolve 5.5.2.5-3
lua 5.3.5-3
luajit 2.0.5-3
lvm2 2.02.187-2
lz4 1:1.9.2-2
lzo 2.10-3
m4 1.4.18-3
mailcap 2.1.49-1
make 4.3-3
man-db 2.9.1-2
man-pages 5.06-2
materia-gtk-theme 20200320-1
materia-kde 20200312-1
maven 3.6.3-1
mbedtls 2.16.5-1
md4c 0.4.3-1
mdadm 4.1-2
media-player-info 24-1
mercurial 5.3.2-1
mesa 20.0.6-2
mesa-vdpau 20.0.6-2
metis 5.1.0.p8-1
milou 5.18.5-1
minizip 1:1.2.11-4
mkinitcpio 27-3
mkinitcpio-busybox 1.31.1-1
mobile-broadband-provider-info 20190618-1
modemmanager 1.12.8-1
modemmanager-qt 5.69.0-1
mozilla-common 1.4-5
mpfr 4.0.2-2
mtdev 1.1.6-1
mypaint-brushes1 1.3.1-1
nano 4.9.2-1
ncdu 1.14.2-1
ncurses 6.2-1
ndctl 68-2
neofetch 7.0.0-1
neon 0.31.1-1
nerd-fonts-complete 2.0.0-5
net-tools 1.60.20181103git-2
netpbm 10.73.31-1
nettle 3.6-1
networkmanager 1.22.11dev+36+g6abf71f05-1
networkmanager-qt 5.69.0-2
node-gyp 6.1.0-1
nodejs 14.2.0-1
noto-fonts 20190926-4
npm 6.14.4-1
npth 1.6-2
nspr 4.25-1
nss 3.52-1
nss-mdns 0.14.1-2
oh-my-zsh-git r5620.31eca46ee-1
okular 20.04.0-1
oniguruma 6.9.5-1
openal 1.20.1-2
opencore-amr 0.1.5-3
openexr 2.4.1-2
openjpeg2 2.3.1-1
openssh 8.2p1-3
openssl 1.1.1.g-1
opera-ffmpeg-codecs 81.0.4044.129-1
opus 1.3.1-1
orc 0.4.31-1
oxygen 5.18.5-1
p11-kit 0.23.20-4
pacman 5.2.1-5
pacman-contrib 1.3.0-1
pacman-mirrorlist 20200411-1
pam 1.3.1-2
pambase 20190105.1-2
pango 1:1.44.7+11+g73b46b04-1
papirus-icon-theme 20200430-1
parted 3.3-1
patch 2.7.6-8
pciutils 3.6.4-1
pcre 8.44-1
pcre2 10.34-3
pcsclite 1.8.26-1
pdfgrep 2.1.2-1
perl 5.30.2-1
perl-alien-build 2.22-1
perl-alien-libxml2 0.16-1
perl-autovivification 0.18-4
perl-b-hooks-endofscope 0.24-2
perl-business-isbn 3.004-5
perl-business-isbn-data 20140910.003-5
perl-business-ismn 1.201-2
perl-business-issn 1.003-2
perl-capture-tiny 0.48-2
perl-class-accessor 0.51-1
perl-class-data-inheritable 0.08-8
perl-class-factory-util 1.7-9
perl-class-inspector 1.36-1
perl-class-load 0.25-1
perl-class-singleton 1.5-3
perl-data-compare 1.25-6
perl-data-dump 1.23-5
perl-data-optlist 0.110-5
perl-data-uniqid 0.12-6
perl-datetime 1.51-3
perl-datetime-calendar-julian 0.04-5
perl-datetime-format-builder 0.8100-6
perl-datetime-format-strptime 1.75-3
perl-datetime-locale 1.22-1
perl-datetime-timezone 2.35-1
perl-devel-stacktrace 2.03-3
perl-dist-checkconflicts 0.11-5
perl-encode-locale 1.05-5
perl-error 0.17029-1
perl-eval-closure 0.14-5
perl-exception-class 1.44-3
perl-exporter-tiny 1.002002-1
perl-ffi-checklib 0.26-1
perl-file-chdir 0.1011-3
perl-file-find-rule 0.34-5
perl-file-listing 6.04-6
perl-file-sharedir 1.116-2
perl-file-sharedir-install 0.13-3
perl-file-slurp-tiny 0.004-5
perl-file-slurper 0.012-2
perl-file-which 1.23-2
perl-html-parser 3.72-8
perl-html-tagset 3.20-8
perl-http-cookies 6.08-1
perl-http-daemon 6.06-1
perl-http-date 6.05-1
perl-http-message 6.22-1
perl-http-negotiate 6.01-6
perl-inc-latest 0.500-5
perl-io-html 1.001-5
perl-io-socket-ssl 2.066-1
perl-io-string 1.08-11
perl-ipc-run3 0.048-6
perl-libwww 6.44-1
perl-lingua-translit 0.28-3
perl-list-allutils 0.16-1
perl-list-moreutils 0.428-3
perl-list-moreutils-xs 0.428-4
perl-list-someutils 0.56-3
perl-list-utilsby 0.11-3
perl-log-log4perl 1.49-5
perl-lwp-mediatypes 6.02-6
perl-lwp-protocol-https 6.07-3
perl-mailtools 2.21-2
perl-math-round 0.07-3
perl-mime-charset 1.012.2-5
perl-module-build 0.4231-1
perl-module-implementation 0.09-5
perl-module-runtime 0.016-1
perl-mozilla-ca 20180117-3
perl-mro-compat 0.13-4
perl-namespace-autoclean 0.29-1
perl-namespace-clean 0.27-5
perl-net-http 6.19-2
perl-net-ssleay 1.88-1
perl-number-compare 0.03-8
perl-package-deprecationmanager 0.17-5
perl-package-stash 0.38-2
perl-package-stash-xs 0.29-3
perl-params-util 1.07-11
perl-params-validate 1.29-4
perl-params-validationcompiler 0.30-2
perl-path-tiny 0.112-1
perl-perlio-utf8-strict 0.007-4
perl-regexp-common 2017060201-2
perl-role-tiny 2.001004-1
perl-sort-key 1.33-7
perl-specio 0.43-1
perl-sub-exporter 0.987-5
perl-sub-exporter-progressive 0.001013-5
perl-sub-identify 0.14-7
perl-sub-install 0.928-5
perl-sub-name 0.26-1
perl-test-fatal 0.014-5
perl-text-bibtex 0.85-4
perl-text-csv 1.97-2
perl-text-glob 0.11-5
perl-text-roman 3.5-5
perl-tie-cycle 1.225-3
perl-timedate 2.32-1
perl-try-tiny 0.30-3
perl-unicode-linebreak 2019.001-1
perl-uri 1.76-2
perl-variable-magic 0.62-4
perl-www-robotrules 6.02-6
perl-xml-libxml 2.0204-1
perl-xml-libxml-simple 0.99-3
perl-xml-libxslt 1.99-1
perl-xml-namespacesupport 1.12-3
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-3
perl-xml-writer 0.625-5
phonon-qt5 4.11.1-1
phonon-qt5-gstreamer 4.10.0-1
pinentry 1.1.0-5
pipewire 0.3.4-1
pixman 0.40.0-1
pkgconf 1.6.3-4
plasma-browser-integration 5.18.5-1
plasma-desktop 5.18.5-1
plasma-framework 5.69.0-2
plasma-integration 5.18.5-1
plasma-nm 5.18.5-1
plasma-pa 5.18.5-1
plasma-sdk 5.18.5-1
plasma-vault 5.18.5-1
