a52dec 0.7.4-10
thin-provisioning-tools 0.8.5-3
threadweaver 5.69.0-1
thunderbird 68.7.0-2
tlp 1.3.1-2
tlp-rdw 1.3.1-2
tpm2-tss 2.4.0-2
tslib 1.21-1
ttf-dejavu 2.37-3
ttf-hack 3.003-2
ttf-liberation 2.1.0-1
tzdata 2020a-1
udisks2 2.8.4-2
unrar 1:5.9.2-1
upower 0.99.11-1
usbmuxd 1.1.0+69+g8a69f1a-1
usbutils 012-2
user-manager 5.18.5-1
util-linux 2.35.1-2
v4l-utils 1.18.1-1
vdpauinfo 1.3-1
vi 1:070224-4
vid.stab 1.1-2
vim 8.2.0510-2
vim-runtime 8.2.0510-2
virtualbox 6.1.6-1
virtualbox-guest-iso 6.1.6-1
virtualbox-host-modules-arch 6.1.6-10
vlc 3.0.10-1
volume_key 0.3.12-2
vte-common 0.60.2-2
vte3 0.60.2-2
vulkan-icd-loader 1.2.137-1
wayland 1.18.0-2
wayland-protocols 1.20-1
webrtc-audio-processing 0.3.1-1
webstorm 2020.1.1b201.7223.93-1
wget 1.20.3-3
which 2.21-5
wmctrl 1.07-5
woff2 1.0.2-3
wpa_supplicant 2:2.9-7
x264 3:0.159.r2999.296494a-1
x265 3.3-1
xcb-proto 1.14-1
xcb-util 0.4.0-3
xcb-util-cursor 0.1.3-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xcb-util-xrm 1.3-2
xclip 0.13-2
xdg-desktop-portal-kde 5.18.5-1
xdg-user-dirs 0.17-2
xdg-utils 1.1.3+19+g9816ebb-1
xdotool 3.20160805.1-2
xf86-input-libinput 0.29.0-2
xf86-video-amdgpu 19.1.0-1
xfsprogs 5.6.0-2
xkeyboard-config 2.29-1
xmlsec 1.2.30-2
xorg-bdftopcf 1.1-2
xorg-font-util 1.3.2-1
xorg-font-utils 7.6-5
xorg-fonts-encodings 1.0.5-1
xorg-iceauth 1.0.8-2
xorg-luit 1.1.1-3
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.8-2
xorg-server-common 1.20.8-2
xorg-sessreg 1.1.2-1
xorg-setxkbmap 1.3.2-1
xorg-smproxy 1.0.6-2
xorg-x11perf 1.6.1-1
xorg-xauth 1.1-1
xorg-xbacklight 1.2.3-2
xorg-xcmsdb 1.0.5-2
xorg-xcursorgen 1.0.7-1
xorg-xdpyinfo 1.3.2-3
xorg-xdriinfo 1.0.6-2
xorg-xev 1.2.3-1
xorg-xgamma 1.0.6-2
xorg-xhost 1.0.8-1
xorg-xinput 1.6.3-1
xorg-xkbcomp 1.4.3-1
xorg-xkbevd 1.1.4-2
xorg-xkbutils 1.0.4-3
xorg-xkill 1.0.5-2
xorg-xlsatoms 1.1.3-2
xorg-xlsclients 1.1.4-2
xorg-xmessage 1.0.5-2
xorg-xmodmap 1.0.10-1
xorg-xpr 1.0.5-2
xorg-xprop 1.2.4-1
xorg-xrandr 1.5.1-1
xorg-xrdb 1.2.0-1
xorg-xrefresh 1.0.6-2
xorg-xset 1.2.4-2
xorg-xsetroot 1.1.2-2
xorg-xvinfo 1.1.4-1
xorg-xwd 1.0.7-2
xorg-xwininfo 1.1.5-1
xorg-xwud 1.0.5-2
xorgproto 2020.1-1
xvidcore 1.3.7-1
xxhash 0.7.3-1
xz 5.2.5-1
yay 9.4.7-1
zeromq 4.3.2-1
zita-alsa-pcmi 0.3.2-2
zita-resampler 1.6.2-2
zlib 1:1.2.11-4
zoom 5.0.399860.0429-1
zsh 5.8-1
zsh-autosuggestions 0.6.4-1
zsh-completions 0.31.0-1
zsh-syntax-highlighting 0.7.1-1
zsh-theme-powerlevel10k-git r2927.7b77d63-1
zstd 1.4.4-1
zziplib 0.13.71-1
